0,1,2,3,4,5,6,7,8
002137,实益达,1,0,0.32,-1.46,0.32,-1.46,+展开明细
300958,建工修复,1,0,0.62,0.16,1.08,0.14,+展开明细
603866,桃李面包,1,0,1.49,0.10,1.49,0.10,+展开明细
002415,海康威视,1,1,0.43,0.43,0.44,0.44,+展开明细
600169,太原重工,1,0,0.22,0.01,0.22,-0.06,+展开明细
300058,蓝色光标,1,-1,1.15,-0.12,1.15,-0.12,+展开明细
688403,汇成股份,1,1,2.65,2.65,3.85,3.85,+展开明细
300599,雄塑科技,1,-1,0.47,-0.73,0.47,-0.73,+展开明细
002677,浙江美大,1,0,0.18,-0.03,0.18,-0.03,+展开明细
600740,山西焦化,1,0,0.55,0.20,0.55,0.20,+展开明细
600745,闻泰科技,1,0,1.59,-0.09,1.59,-0.09,+展开明细
605255,天普股份,1,-1,0.24,-0.52,0.24,-0.52,+展开明细
300908,仲景食品,1,-1,0.79,-0.90,0.79,-0.90,+展开明细
601568,北元集团,1,0,0.34,0.18,0.53,0.28,+展开明细
688018,乐鑫科技,1,-2,0.75,-1.58,0.75,-1.58,+展开明细
002026,山东威达,1,-2,0.27,-0.81,0.28,-0.85,+展开明细
300927,江天化学,1,-3,0.69,-1.10,0.69,-2.18,+展开明细
300775,三角防务,1,0,1.25,0.41,1.26,0.42,+展开明细
600594,益佰制药,1,-1,0.27,-0.61,0.27,-0.61,+展开明细
002017,东信和平,1,1,0.26,0.26,0.26,0.26,+展开明细
301141,中科磁业,1,-1,0.12,-0.10,0.49,-0.42,+展开明细
300272,开能健康,1,0,0.77,-0.19,0.77,-0.19,+展开明细
300881,盛德鑫泰,1,0,0.21,-0.03,0.21,-0.03,+展开明细
301281,科源制药,1,-2,0.10,-0.92,0.40,-3.69,+展开明细
301469,恒达新材,1,-1,0.11,-0.53,0.47,-2.24,+展开明细
002920,德赛西威,1,0,1.14,0.00,1.14,0.00,+展开明细
301058,中粮科工,1,-3,0.22,-2.34,0.57,-5.89,+展开明细
688358,祥生医疗,1,-1,0.49,-1.00,0.49,-1.00,+展开明细
300680,隆盛科技,1,-2,0.74,-2.36,0.74,-2.37,+展开明细
300967,晓鸣股份,1,0,0.71,0.21,1.25,0.37,+展开明细
300065,海兰信,1,1,0.43,0.43,0.43,0.43,+展开明细
603859,能科科技,1,0,1.20,0.12,1.20,0.12,+展开明细
